strain	Serovar	MLST	cgMLST	HC5	HC10	region	country	division	city	date	latitude	longitude	year	month	day
ERR13711462	Enteritidis	11	365785	1358	413	Europe	Poland	UNK	Olsztyn	2025-04-01	53.7766839	20.476507	2025	4	1
SRR10032843	Enteritidis	11	365785	1358	413	Europe	Poland	UNK	Olsztyn	2025-04-01	53.7766839	20.476507	2025	4	1
SRR10049737	Enteritidis	11	365785	1358	413	Europe	Poland	UNK	Olsztyn	2025-04-01	53.7766839	20.476507	2025	4	1
SRR10084868	Enteritidis	11	365785	1358	413	Europe	Poland	UNK	Olsztyn	2025-04-01	53.7766839	20.476507	2025	4	1
SRR10084881	Enteritidis	11	365785	1358	413	Europe	Poland	UNK	Olsztyn	2025-04-01	53.7766839	20.476507	2025	4	1
SRR10222053	Enteritidis	11	365785	1358	413	Europe	Poland	UNK	Olsztyn	2025-04-01	53.7766839	20.476507	2025	4	1
SRR10235805	Enteritidis	11	365785	1358	413	Europe	Poland	UNK	Olsztyn	2025-04-01	53.7766839	20.476507	2025	4	1
SRR10236686	Enteritidis	11	365785	1358	413	Europe	Poland	UNK	Olsztyn	2025-04-01	53.7766839	20.476507	2025	4	1
SRR10314911	Enteritidis	11	365785	1358	413	Europe	Poland	UNK	Olsztyn	2025-04-01	53.7766839	20.476507	2025	4	1
SRR10404589	Enteritidis	11	365785	1358	413	Europe	Poland	UNK	Olsztyn	2025-04-01	53.7766839	20.476507	2025	4	1
SRR14766386	Enteritidis	11	362210	1358	413	Europe	Poland	UNK	Krakow	2023-01-16	50.0619474	19.9368564	2023	1	16
SRR16216494	Enteritidis	11	362181	1358	413	Europe	Poland	UNK	Krakow	2023-01-14	50.0619474	19.9368564	2023	1	14
SRR2096548	Enteritidis	11	362188	1358	413	Europe	Poland	UNK	Krakow	2023-01-27	50.0619474	19.9368564	2023	1	27
SRR22230307	Enteritidis	11	362225	1358	413	Europe	Poland	UNK	Rzeszow	2022-09-09	50.0374531	22.0047174	2022	9	9
SRR23721562	Enteritidis	11	237558	1358	413	Europe	Poland	UNK	Bydgoszcz	2022-11-01	53.1219648	18.0002529	2022	11	1
SRR27592486	Enteritidis	11	365576	1358	413	Europe	Poland	UNK	Katowice	2022-10-12	50.2598987	19.0215852	2022	10	12
SRR28412153	Enteritidis	11	366513	1358	413	Europe	Poland	UNK	Szczecin	2023-01-16	53.4301818	14.5509623	2023	1	16
SRR29209733	Enteritidis	11	365783	1358	413	Europe	Poland	UNK	Bialystok	2023-01-30	53.132398	23.1591679	2023	1	30
SRR3097404	Enteritidis	11	362223	1358	413	Europe	Poland	UNK	Wroclaw	2023-04-17	51.1089776	17.0326689	2023	4	17
SRR5742498	Enteritidis	11	366533	1358	413	Europe	Poland	UNK	Bialystok	2023-03-18	53.132398	23.1591679	2023	3	18
SRR5815675	Enteritidis	11	365785	1358	413	Europe	Poland	UNK	Katowice	2023-04-09	50.2598987	19.0215852	2023	4	9
SRR5883584	Enteritidis	11	370254	1358	413	Europe	Poland	UNK	Rzeszow	2023-02-26	50.0374531	22.0047174	2023	2	26
SRR6029164	Enteritidis	11	507437	1358	413	Europe	Poland	UNK	Katowice	2023-08-16	50.2598987	19.0215852	2023	8	16
SRR6107159	Enteritidis	11	507454	1358	413	Europe	Poland	UNK	Katowice	2023-10-01	50.2598987	19.0215852	2023	10	1
SRR6663496	Enteritidis	11	400574	1358	413	Europe	Poland	UNK	Katowice	2023-09-03	50.2598987	19.0215852	2023	9	3
SRR7011956	Enteritidis	11	507560	1358	413	Europe	Poland	UNK	Krakow	2024-01-08	50.0619474	19.9368564	2024	1	8
SRR7890524	Enteritidis	11	507550	1358	413	Europe	Poland	UNK	Gorzow Wielkopolski	2024-04-28	52.7309926	15.2400451	2024	4	28
SRR8207016	Enteritidis	11	507584	1358	413	Europe	Poland	UNK	Gorzow Wielkopolski	2024-04-29	52.7309926	15.2400451	2024	4	29
SRR8782323	Enteritidis	11	507709	1358	413	Europe	Poland	UNK	Kielce	2024-04-04	50.8719903	20.6310488	2024	4	4
